ID;title;production_year
3790;La pantalla diabólica;1987
3791;La parabólica;1996
3792;La parálisis cerebral;1999
3793;La pasión turca;1994
3794;La patria del rata;1980
3795;La perla;1995
3796;La perversa caricia de Satán;1976
3797;La petición;1976
3798;La pistola de mi hermano;1997
3799;La playa vacía;1977
3800;La plaza;1976
3801;La plaça del Diamant;1982
3802;La por dabocar-se;1990
3803;La portentosa vida del pare Vicent;1978
3804;La primera noche de mi vida;1998
3805;La profezia;1978
3806;La promesa;1976
3807;La prueba;1988
3808;La próxima estación;1982
3809;La puerta;1995
3810;La puerta, ¡¡vaya broma!!;1990
3811;La punyalada;1990
3812;La querida;1976
3813;La quinta del porro;1981
3814;La ragazza dal pigiama giallo;1977
3815;La ragazza dalla pelle di corallo;1976
3816;La Rambla;1977
3817;La Raulito en libertad;1975
3818;La raya;1997
3819;La rebelión de los pájaros;1982
3820;La recerca de la felicitat;1993
3821;La red MERCASA en la comercialización de alimentos;1975
3822;La regenta;1975
3823;La reina anónima;1992
3824;La reina del mate;1985
3825;La respuesta;1975
3826;La retención;1978
3827;La rosa de los vientos;1983
3828;La rosa de piedra;1999
3829;La rossa del bar;1986
3830;La rusa;1987
3831;La ruta del bakalao;1993
3832;La ràbia;1978
3833;La ràdio folla;1986
3834;La Sabina;1979
3835;La saga de los Vázquez;1982
3836;La sal de la vida;1996
3837;La sangre del enemigo;1996
3838;La secuencia final;1999
3839;La segunda guerra de los niños;1981
3840;La selva está loca, loca, loca...;1983
3841;La senyora;1987
3842;La Serra de Collserola;1983
3843;La seta ibérica;1982
3844;La señora del Oriente Express;1989
3845;La sidra, un rito;1976
3846;La sierra blanca;1993
3847;La siesta;1980
3848;La soledad del director;1990
3849;La sombra de Caín;1999
3850;La sombra de los gigantes;1979
3851;La sombra de un recuerdo;1978
3852;La sombra del ciprés es alargada;1990
3853;La sombra del judoka contra el doctor Wong;1985
3854;La suerte cambia;1991
3855;La supplente va in città;1979
3856;La taberna fantástica;1991
3857;La tentación anonima;1998
3858;La teoría del dinero;1991
3859;La teranyina;1990
3860;La tercera edat;1978
3861;La tercera luna;1984
3862;La tercera mujer;1983
3863;La tercera puerta;1976
3864;La terraza de Miguel;1995
3865;La teta y la luna;1994
3866;La torna;1978
3867;La trastienda;1975
3868;La travesía imaginaria;1996
3869;La tribu de los aurones;1988
3870;La triple muerte del tercer personaje;1981
3871;La tumba de los muertos vivientes;1983
3872;La tía de Carlos;1982
3873;La universitat Politècnica de Barcelona;1982
3874;La vaca;1997
3875;La vaquilla;1985
3876;La vegetación;1993
3877;La vendedora de ropa interior;1982
3878;La verdad sobre el caso Savolta;1980
3879;La veritat oculta;1987
3880;La vespa e la regina;1999
3881;La vida alegre;1987
3882;La vida en juego;1993
3883;La vida es rosa;1999
3884;La vida es silbar;1998
3885;La vida láctea;1992
3886;La vida mata;1999
3887;La vida privada;1996
3888;La vida siempre es corta;1994
3889;La vida, el amor y la muerte;1980
3890;La vieja memoria;1979
3891;La vieja música;1985
3892;La viga;1996
3893;La violación;1977
3894;La visita;1997
3895;La visita del vicio;1978
3896;La viuda andaluza;1976
3897;La viuda del capitán Estrada;1991
3898;La viuda negra;1991
3899;La voz de El Mégano;1999
3900;La vuelta de El Coyote;1998
3901;La zorra y el escorpión;1984
3902;La zorrita en bikini;1976
3903;La última frontera;1992
3904;La última imagen;1984
3905;La última jugada;1975
3906;La última parada (Lo peor de todo);1999
3907;La última respuesta;1992
3908;La última rosa;1984
3909;La última siembra;1991
3910;La-Re-Mi-La-Fa-Re-Mi-Do-Re-Fa-Do-Mi Fa-Re-Mi-Fa-Mi-La-Do-Mi-Fa-Mi-Re-Fa Mi-Fa-Mi-Re-La-Fa-Mi-Re-Do-Mi-Re-Mi Fa-Re-Mi-Fa-Mi-Do-Re-Mi-Re-Fa-Mi-La;1980
3911;Laberint;1980
3912;Laberinto de pasiones;1982
3913;Ladrón de chatarra;1987
3914;Ladrón de multas;1999
3915;Lagunas;1996
3916;Lalia;1999
3917;Land and Freedom;1995
3918;Larga espera, cita corta;1997
3919;Largo retorno;1975
3920;Las adolescentes;1975
3921;Las alegres chicas de El Molino;1977
3922;Las alegres chicas de Colsada;1984
3923;Las alegres vampiras de Vögel;1975
3924;Las alimañas;1976
3925;Las alumnas de madame Olga;1981
3926;Las autonosuyas;1983
3927;Las aventuras de Enrique y Ana;1981
3928;Las aventuras de Los Parchís;1982
3929;Las aventuras de Zipi y Zape;1982
3930;Las aventuras y calenturas de los cuatro borricos;1988
3931;Las bicicletas son para el verano;1984
3932;Las bodas de Blanca;1975
3933;Las cabras de Freud;1999
3934;Las calientes orgías de una virgen;1983
3935;Las camareras;1976
3936;Las cartas de Alou;1990
3937;Las chicas del bingo;1982
3938;Las chicas del tanga;1987
3939;Las chuponas;1986
3940;Las cosas del querer;1989
3941;Las cosas del querer II;1995
3942;Las cuatro novias de Augusto Pérez;1977
3943;Las Cuevas de Guadix;1978
3944;Las delicias de los verdes años;1976
3945;Las desarraigadas;1977
3946;Las dos orillas;1987
3947;Las edades de Lulú;1990
3948;Las eróticas vacaciones de Stela;1978
3949;Las fantasías de Cuny;1984
3950;Las flechas de un ángel;1996
3951;Las flores del vicio;1979
3952;Las garras de Lorelei;1976
3953;Las huellas borradas;1999
3954;Las huellas del lince;1990
3955;Las largas vacaciones del 36;1976
3956;Las locuras de Jane;1977
3957;Las locuras de Parchís;1982
3958;Las marginadas;1977
3959;Las mujeres de Jeremías;1981
3960;Las orgías inconfesables de Emmanuelle;1982
3961;Las palabras de Max;1978
3962;Las partes de mi que te aman son seres vacios;1995
3963;Las primeras experiencias;1975
3964;Las protegidas;1975
3965;Las que empiezan a los quince años;1978
3966;Las ratas;1998
3967;Las seis en punta;1987
3968;Las siete cucas;1981
3969;Las siete magníficas y audaces mujeres;1979
3970;Las trampas del matrimonio;1982
3971;Las tribulaciones de un Buda Bizco;1986
3972;Las truchas;1978
3973;Las tumbas;1991
3974;Las vacaciones de Clara;1997
3975;Las vacaciones de Toby;1987
3976;Las verdes praderas;1979
3977;Las viciosas y la menor;1983
3978;Las últimas de Filipinas;1986
3979;Las últimas postales de Stephen;1976
3980;Lass uns spielen;1999
3981;Latidos de pánico;1983
3982;Latin Boys Go to Hell;1997
3983;Latino Bar;1991
3984;Laugarren Galeriatik (Cuarta galería);1995
3985;Laura, del cielo llega la noche;1987
3986;Lautrec;1998
3987;Laverna;1978
3988;Lazos de sangre;1992
3989;Le c... de Marilyne;1980
3990;Le cantique des créature: Pablo Picasso pintor;1982
3991;Le cercle des passions;1983
3992;Le coeur à lenvers;1980
3993;Le dernier amant romantique;1978
3994;Le descente à lenfer dun poète;1990
3995;Le due orfanelle;1976
3996;Le due vite di Mattia Pascal;1985
3997;Le fusil de bois;1994
3998;Le jour et la nuit;1997
3999;Le journal de Lady M;1993
4000;Le lac des morts vivants;1981
4001;Le llamaban J.R.;1982
4002;Le notti segrete di Lucrezia Borgia;1982
4003;Le serpent a mangé la grenouille;1998
4004;Le voleur denfants;1991
4005;Lección acelerada de cine;1980
4006;Legado arquitectónico español;1975
4007;Lejos de África;1996
4008;Lenguas;1997
4009;Leo es pardo;1976
4010;Leonor;1975
4011;Les apariències enganyen;1991
4012;Les concessionàries;1979
4013;Les filles de Copacabana;1981
4014;Les gens den face;1993
4015;Les gens qui saiment;1999
4016;Les riuades de novembre;1983
4017;Les routes du sud;1978
4018;Les variacions Gould;1992
4019;Letti selvaggi;1979
4020;Leviatán;1984
4021;Libertad provisional;1976
4022;Libertarias;1996
4023;Libre indirecto;1997
4024;Licántropo: El asesino de la luna llena;1996
4025;Ligeramente viudas;1975
4026;Lilian (la virgen pervertida);1984
4027;Linda;1981
4028;Lisa;1998
4029;Lisboa;1999
4030;Lisboa, Faca No Coração;1998
4031;Little Tunes;1999
4032;Llegan a América;1978
4033;Llibertat dexpressió;1977
4034;Lluvia de otoño;1989
4035;Llámame Lola;1977
4036;Lo más natural;1991
4037;Lo negro (últimos acontecimientos);1985
4038;Loca por el circo;1982
4039;Locas vacaciones;1984
4040;Loco veneno;1989
4041;Lola;1986
4042;Lola Zipper;1991
4043;Lolita al desnudo;1991
4044;Loraldia - El tiempo de las flores;1991
4045;Lorca;1998
4046;Lorca y La Barraca;1977
4047;Lorca, Santiago y seis poemas gallegos;1999
4048;Los 4 músicos de Bremen;1989
4049;Los accionistas del arte;1997
4050;Los alegres bribones;1982
4051;Los amantes del Círculo Polar;1998
4052;Los amigos del muerto;1993
4053;Los autonómicos;1982
4054;Los años borrados;1999
4055;Los años bárbaros;1998
4056;Los baúles del retorno;1995
4057;Los bingueros;1979
4058;Los blues de la calle Pop (Aventuras de Felipe Malboro, volumen 8);1983
4059;Los buenos días perdidos;1975
4060;Los caballeros;1976
4061;Los caraduros;1983
4062;Los casados y la menor;1975
4063;Los chulos;1981
4064;Los claros motivos del deseo;1977
4065;Los cojones de Pablo Pequeno;1981
4066;Los cuentos de tío Paco;1999
4067;Los cántabros;1980
4068;Los dardos del amor;1998
4069;Los diablos del mar;1982
4070;Los días del cometa;1989
4071;Los días del pasado;1978
4072;Los Díaz felices;1998
4073;Los embarazados;1982
4074;Los energéticos;1979
4075;Los fantasmas del taller (Porcelanas de hoy);1979
4076;Los fieles sirvientes;1980
4077;Los ganadores del mañana;1981
4078;Los girasoles;1999
4079;Los gusanos no llevan bufanda;1992
4080;Los habitantes de Antequera;1976
4081;Los hijos de Scaramouche;1975
4082;Los hijos de...;1976
4083;Los hijos del viento;1995
4084;Los hombres siempre mienten;1995
4085;Los invitados;1987
4086;Los liantes;1981
4087;Los lobos de Washington;1999
4088;Los locos vecinos del 2º;1980
4089;Los locos, locos carrozas;1984
4090;Los líos de Estefanía;1982
4091;Los mandos no responden;1993
4092;Los mares del sur;1992
4093;Los motivos de Berta;1984
4094;Los nuevos curanderos;1986
4095;Los nuevos extraterrestres;1983
4096;Los obsexos;1989
4097;Los ojos vendados;1978
4098;Los pajaritos;1982
4099;Los paraísos perdidos;1985
4100;Los pasajeros;1975
4101;Los pecados de mamá;1980
4102;Los pecados de una chica casi decente;1975
4103;Los peores años de nuestra vida;1994
4104;Los placeres ocultos;1977
4105;Los pornoaficionados;1982
4106;Los porretas;1996
4107;Los presuntos;1986
4108;Los primeros metros;1980
4109;Los pueblos blancos de la serranía de Cádiz;1975
4110;Los pájaros de Baden-Baden;1975
4111;Los reporteros;1984
4112;Los restos del naufragio;1978
4113;Los ritos sexuales del diablo;1982
4114;Los santos inocentes;1984
4115;Los siete pecados capitales;1997
4116;Los sin nombre;1999
4117;Los sueños húmedos de Patrizia;1982
4118;Los vaqueiros de Alzada de Asturias, 1a parte;1985
4119;Los viajes de Gulliver;1983
4120;Los violadores;1981
4121;Los violadores del amanecer;1978
4122;Los zancos;1984
4123;Los ángeles;1990
4124;Los últimos golpes de El Torete;1980
4125;Lourdes de segunda mano;1995
4126;Lucecita;1976
4127;Luces de bohemia;1985
4128;Luces y sombras;1988
4129;Lucrecia;1991
4130;Luego dicen que el pescado es caro;1987
4131;Lugo 2000;1976
4132;Luis Soto;1997
4133;Luismi;1995
4134;Lulú;1996
4135;Lulú de noche;1986
4136;Luminis 2;1980
4137;Lumière et compagnie;1995
4138;Luna;1995
4139;Luna de agosto;1986
4140;Luna de lobos;1987
4141;Luna llena;1991
4142;Luquita;1988
4143;Luto riguroso;1977
4144;Luz de luces;1989
4145;Luz negra;1992
4146;Lágrimas negras;1994
4147;Lágrimas negras;1998
4148;Macana de dote, che;1991
4149;Macumba sexual;1983
4150;Made in Pain;1997
4151;Madre in Japan;1985
4152;Madre nana;1991
4153;Madregilda;1993
4154;Madres solteras;1975
4155;Madrid;1987
4156;Madrid al desnudo;1979
4157;Madrid, Costa Fleming;1976
4158;Mafalda;1993
4159;Magia rosa;1980
4160;Maika;1995
4161;Maite;1994
4162;Makarras Conexion;1977
4163;Makinavaja, el último choriso;1992
4164;Mal agüero;1999
4165;Mal de amores;1993
4166;Mala conciencia;1993
4167;Mala yerba;1991
4168;Malapata;1979
4169;Malaventura;1988
4170;Maldita suerte;1993
4171;Malditas sean las suegras;1994
4172;Maldito patín;1998
4173;Malena;1993
4174;Malena es un nombre de tango;1996
4175;Malocchio;1975
4176;Malu;1999
4177;Mama;1988
4178;Mamasunción;1985
4179;Mambrú;1996
4180;Mambrú se fue a la guerra;1986
4181;Mambí;1998
4182;Mamá cumple 100 años;1979
4183;Mamá es boba;1997
4184;Mamá, levántate y anda;1980
4185;Manaos;1979
4186;Manchas de sangre en un coche nuevo;1975
4187;Manderley;1981
4188;Manila;1991
4189;Maniquíes;1997
4190;Manoa, la ciudad de oro;1999
4191;Manolito Gafotas;1999
4192;Manos de seda;1999
4193;Manualidades;1991
4194;Manuel y Clemente;1986
4195;Manuela;1976
4196;Mar adentro;1999
4197;Mar brava;1983
4198;Mar de luna;1995
4199;Mararía;1998
4200;Marathon;1992
4201;Maravillas;1981
4202;Marbella, un golpe de cinco estrellas;1985
4203;Marcada por los hombres;1977
4204;Marcellino;1991
4205;Mariano;1997
4206;Marilyne;1976
4207;Marinas;1978
4208;Marionetas de plomo;1999
4209;Marisma;1997
4210;Marismas en La Mancha;1977
4211;Marián;1977
4212;Markheim;1997
4213;Marquise;1997
4214;Marta y alrededores;1999
4215;Martes de carnaval;1991
4216;Martes y trece, ni te cases ni te embarques;1982
4217;Martinis Boys;1998
4218;Martín;1988
4219;Martín (Hache);1997
4220;María, la santa;1977
4221;Mascara de Diijon;1993
4222;Matad al buitre;1981
4223;Matador;1986
4224;Matamorfa;1999
4225;Matar al abuelito;1993
4226;Matar al Nani;1988
4227;Matar para vivir;1980
4228;Mater amatísima;1980
4229;Mater gloriosa;1996
4230;Material urbà;1987
4231;Matías, juez de línea;1996
4232;Mauricio, mon amour;1976
4233;Mauritius llave del Índico;1975
4234;Mayordomo para todo;1976
4235;Mayumea;1986
4236;McGuffin;1998
4237;Me encantan las confusiones en los aeropuertos;1999
4238;Me gusta verlos mirarse;1998
4239;Me hace falta un bigote;1986
4240;Me olvidé de vivir;1980
4241;Me siento extraña;1977
4242;Me voy;1987
4243;Medi ambient;1981
4244;Megasónicos;1997
4245;Mejor no hables;1994
4246;Memoria;1978
4247;Memoria en la piel;1992
4248;Memoria universal;1986
4249;Memorias de Leticia Valle;1980
4250;Memorias del general Escobar;1984
4251;Memorias del ángel caído;1998
4252;Men of War;1994
4253;Menage a trois... Y medio;1997
4254;Mendigos sin fronteras;1996
4255;Menos mi madre y mi hermana;1978
4256;Menos que cero;1996
4257;Mensaje a las estrellas;1976
4258;Mensajeros de la paz;1976
4259;Mensaka;1998
4260;Mercasa III: Nuevos mercados mayoristas;1976
4261;Merlín;1991
4262;Metales y luz;1976
4263;Metaminds & Metabodies;1995
4264;Metamorfosis - Kaftka Vissions;1993
4265;Metralleta Stein;1975
4266;Metro;1994
4267;Metroland;1997
4268;Mi adúltero esposo (In Situ);1979
4269;Mi amigo el vagabundo;1984
4270;Mi blanca Varsovia;1978
4271;Mi conejo es el mejor;1982
4272;Mi general;1987
4273;Mi hermana va a una fiesta;1980
4274;Mi hermano del alma;1994
4275;Mi hija Hildegart;1977
4276;Mi hijo el Che - Un retrato de familia de don Ernesto Guevara;1985
4277;Mi jarrón chino;1996
4278;Mi Marilyn;1975
4279;Mi mujer es muy decente, dentro de lo que cabe;1975
4280;Mi mujer no es mi señora;1978
4281;Mi nombre es sombra;1996
4282;Mi novia Marta;1995
4283;Mi novio es bakala;1999
4284;Mi película favorita;1998
4285;Mi primer pecado;1977
4286;Mi Rosita;1999
4287;Mi sexo es pornografía pura;1985
4288;Mia tolmiri istoria;1993
4289;Miau;1997
4290;Michana;1975
4291;Microcosmos;1976
4292;Midnight Party;1976
4293;Miedo a salir de noche;1980
4294;Miedo en el espejo;1980
4295;Miele di donna;1981
4296;Mientras brille el sol;1995
4297;Mientras el cuerpo aguante;1982
4298;Mientras haya luz;1987
4299;Mieux vaut être riche et bien portant que fauché et mal foutu;1980
4300;Mil gritos tiene la noche;1982
4301;Mil sexos tiene la noche;1984
4302;Milagro en el circo;1979
4303;Milagro en El Palmar;1976
4304;Mine Field;1986
4305;Minusvàlids;1982
4306;Minutos después;1976
4307;Mir reichts - ich steig aus;1983
4308;Mira y verás;1984
4309;Mirada líquida;1996
4310;Mirage;1993
4311;Miranda hacia atrás;1997
4312;Mirindas asesinas;1991
4313;Mis encuentros con Dámaso Alonso y sus poemas;1976
4314;Mis relaciones con Ana;1979
4315;Mis vacaciones;1999
4316;Misa flamenca en Montilla;1977
4317;Miss Caribe;1988
4318;Missió espacial;1987
4319;Misterio en la isla de los monstruos;1981
4320;Misteriosa;1997
4321;Moment crític;1984
4322;Mon ami Washington;1984
4323;Mon père, ma mère, mes frères et mes soeurs;1999
4324;Mondo cannibale;1980
4325;Mones com la Becky;1999
4326;Monte bajo;1989
4327;Montoyas y Tarantos;1989
4328;Monturiol, el senyor del mar;1993
4329;Mor, vida meva;1996
4330;Moraleja;1984
4331;Morbus (o bon profit);1983
4332;Mordiendo la vida;1986
4333;Morfing;1996
4334;Moribundos;1998
4335;Morir de calor;1991
4336;Morir de miedo;1980
4337;Morir... dormir... tal vez soñar;1976
4338;Morirás en Chafarinas;1995
4339;Moros y cristianos;1987
4340;Morrer no mar;1984
4341;Morte in Vaticano;1982
4342;Mosca Safari;1998
4343;Motocross;1975
4344;Movimientos migratorios;1998
4345;Ms all del terror;1980
4346;Mudéjar;1988
4347;Muerte de un quinqui;1975
4348;Muerte en la carretera;1976
4349;Muertesita, una historia de amor;1999
4350;Muerto de amor;1997
4351;Muertos de risa;1999
4352;Mujer;1975
4353;Mujer, mujer;1983
4354;Mujeres al borde de un ataque de nervios;1988
4355;Mundos;1997
4356;Musas;1998
4357;Museo naval;1975
4358;Museu dombres;1985
4359;Museu Picasso;1980
4360;Mustek;1996
4361;Muy negro;1993
4362;Muñeca de azul;1982
4363;Muñecas de trapo;1984
4364;Muñequitas lindas;1998
4365;My Name Is Joe;1998
4366;Málaga y Picasso;1976
4367;Mármoles que fraguan;1975
4368;Más allá de la muerte;1986
4369;Más allá del deseo;1976
4370;Más allá del jardín;1996
4371;Más allá del terror;1980
4372;Más fina que las gallinas;1977
4373;Más que amor, frenesí;1996
4374;Mátame mucho;1998
4375;Mátame unos cuantos;1996
4376;Mécaniques célestes;1995
4377;Mérida: 2000 años;1975
4378;Mílite;1996
4379;Móvil inmortal;1999
4380;Músics ara i aqui;1979
4381;Nacional III;1982
4382;Nada en la nevera;1998
4383;Nadie como tú;1997
4384;Nadie conoce a nadie;1999
4385;Nadie hablará de nosotras cuando hayamos muerto;1995
4386;Naftalina;1981
4387;Naifs españoles;1976
4388;Namaste. Cultes dun pais llunya;1981
4389;Nana para una nube blanca;1982
4390;Nanas de espinas;1984
4391;Napoleón también cambiaba de lado;1997
4392;Narcos;1992
4393;Nascida na Raia - Um Encontro em Imagens com a Canção Popular;1998
4394;Natillas;1985
4395;Naturaleza y recreo;1976
4396;Naturistes;1979
4397;Navajeros;1980
4398;Navda;1980
4399;Necesidades;1998
4400;Negocios;1989
4401;Negra rosa;1998
4402;Nena;1997
4403;Nepal. Un paradis al peu de lHimalaia;1980
4404;Nettoyage à sec;1997
4405;Neumonía erótica y pasota;1981
4406;Nexo;1995
4407;Nexus 2.431;1994
4408;Ngira: Gorilas en la montaña;1988
4409;Ni contigo ni sin ti;1992
4410;Ni se lo llevó el viento, ni puñetera falta que hacía;1982
4411;Ni se te ocurra...;1990
4412;Ni siquiera es tu casa, Carlitos;1985
4413;Ni tan siquiera tienes los ojos azules;1997
4414;Ni un pam de net;1993
4415;Nicotina;1998
4416;Nido de viudas;1977
4417;Nieve en la arena;1998
4418;Niñas... al salón;1977
4419;Niño nadie;1997
4420;Niños fríos;1989
4421;No et tallis ni un pèl;1992
4422;No hagas planes con Marga;1988
4423;No llevamos dinero;1986
4424;No matarás;1975
4425;No me compliques la vida;1991
4426;No me importaría irme contigo;1995
4427;No me jodas que tú no lo haces;1996
4428;No me toques el pito que me irrito;1983
4429;No me toques los bytes;1999
4430;No quiero perder la honra;1975
4431;No respires: El amor está en el aire;1999
4432;No se lo digas a nadie;1985
4433;No se lo digas a nadie;1998
4434;No se puede tener todo;1997
4435;No somos nadie;1986
4436;No somos nadie;1997
4437;No soy yo, pero... me parezco;1979
4438;No suelo matar;1997
4439;No sé, no sé;1998
4440;Noa e Xoana;1986
4441;Noche;1997
4442;Noche cerrada;1999
4443;Noche de curas;1978
4444;Nocturno;1997
4445;Noctámbulos;1995
4446;Només;1995
4447;Nos va la marcha;1979
4448;Nosotros en particular;1985
4449;Nosotros que fuimos tan felices;1976
4450;Nosotros, los decentes;1976
4451;Nostalgia al bies;1975
4452;Nostalgia de comedia muda;1981
4453;Notícias de uma Guerra Particular;1999
4454;Nous;1981
4455;Noveno ve;1999
4456;Novios;1999
4457;Novios de la muerte;1975
4458;Nueva narrativa española. 2ª parte;1991
4459;Nuevos horizontes para Vizcaya;1975
4460;Numax presenta...;1980
4461;Nunca;1998
4462;Nunca en horas de clase;1978
4463;Nunca es nunca;1996
4464;Nunca es tarde;1977
4465;Nunca estuve en Viena;1989
4466;Nunca estás en casa;1991
4467;Nut;1997
4468;Náufragos;1996
4469;Náufragos;1997
4470;Néctar de vida;1981
4471;Número tres;1980
4472;O cadaleito;1976
4473;O cambio;1997
4474;O camiño das estrelas: Galicia;1993
4475;O Catedrático do Samba;1999
4476;O desexo;1994
4477;O Fio do Horizonte;1993
4478;O herdeiro;1976
4479;O matachín;1996
4480;O me quieres o me mato;1999
4481;O milagre da carne;1994
4482;O pai de Migueliño;1977
4483;O párroco embaucado;1994
4484;O segredo;1984
4485;O todos o ninguno;1976
4486;Oasis mediterráneo;1976
4487;Objectiu: Alpamayo - Una piramide de 6.000 metres al cor dels Andes;1980
4488;Objetivo: sexo;1981
4489;Objetos personales;1977
4490;Obsesión;1975
4491;Obsesión;1999
4492;Ocaso ADH;1999
4493;Ocaña, retrat intermitent;1978
4494;Ochenta y siete cartas de amor;1992
4495;Octubre, 12;1982
4496;Oedipo alcalde;1996
4497;Oedipus;1997
4498;Oferta a la juventud española: La nueva formación profesional;1975
4499;Off;1976
4500;Oficio de muchachos;1986
4501;Oh tierra triste y noble;1975
4502;Oh, cielos;1995
4503;Ojala Val del Omar;1994
4504;Ojo, frágil;1981
4505;Okupa;1999
4506;Olavide;1976
4507;Olga;1998
4508;Olimpia;1980
4509;Olvida los tambores;1975
4510;Olé Olá;1996
4511;On the Line;1984
4512;One Mans Hero;1999
4513;Onona;1976
4514;Onze de setembre, Sant Boi de Llobregat;1976
4515;Operación Fangio;1999
4516;Operación Mantis (El exterminio del macho);1985
4517;Operación Ogro;1979
4518;Ordinary Americans: Americanos cotidianos;1999
4519;Orgasmo caliente;1981
4520;Orgasmo perverso;1986
4521;Orinoco: Prigioniere del sesso;1980
4522;Oro en la pared;1992
4523;Oro fino;1989
4524;Oro rojo;1978
4525;Orquesta Club Virginia;1992
4526;Os Galegos;1990
4527;Os Homes e a noite;1984
4528;Os Paxaros morren no aire;1978
4529;Os Pocillos;1999
4530;Oskar Kokoschka;1976
4531;Othello, el comando negro;1982
4532;Otra página de la vida;1980
4533;Otra vez adiós;1980
4534;Otra vuelta de tuerca;1985
4535;Otro tango;1982
4536;Ovejas negras;1990
4537;Pa dàngel;1984
4538;Pa que veas tú;1998
4539;Paco el seguro;1979
4540;Paco, mi padre;1992
4541;Padre no hay más que dos;1982
4542;Padre nuestro;1985
4543;Pain and Life;1999
4544;Paisaje;1980
4545;Pajarico;1997
4546;Palace;1995
4547;Palacios árabes;1984
4548;Palmira;1982
4549;Panoli;1996
4550;Pantaleón y las visitadoras;1975
4551;Panteix;1995
4552;Panther Squad;1984
4553;Papeles secundarios;1989
4554;Par de min;1993
4555;Para las nenas, leche calentita;1986
4556;Para unas prisas...;1980
4557;Parabellum;1998
4558;Paranoia dixital;1996
4559;Paraules;1997
4560;Paraísos artificiales;1998
4561;Parchís entra en acción;1983
4562;Pareja enloquecida busca madre de alquiler;1990
4563;Parella de tres;1995
4564;Pares y nones;1982
4565;Parleu després de sentir el senyal;1982
4566;Parranda;1977
4567;Partenaire;1978
4568;Party Line;1994
4569;París Tombuctú;1999
4570;Pas de deux;1990
4571;Pasaia;1997
4572;Pasajes;1996
4573;Pasaron los días;1985
4574;Pascual Duarte;1976
4575;Pase negro;1998
4576;Pasiones desenfrenadas;1981
4577;Pasión;1977
4578;Pasión de hombre;1989
4579;Pasión inconfesable;1978
4580;Pasión lejana;1986
4581;Pasión prohibida;1982
4582;Pasodoble;1988
4583;Pasos largos;1986
4584;Pastilleros;1993
4585;Patagonia Llunyana. Muntanyes Australs. Fitz Roy;1979
4586;Patas en la cabeza;1985
4587;Patesnak, un cuento de Navidad;1998
4588;Patrimonio nacional;1981
4589;Patrizia;1981
4590;Patum;1990
4591;Paula Mujer de la Noche;1981
4592;País, S.A.;1975
4593;Pecado mortal;1977
4594;Pecados capitales;1996
4595;Pecata minuta;1999
4596;Pederastia 96;1997
4597;Peggio di così si muore;1995
4598;Pehavý Max a strasidlá;1987
4599;Pelotazo nacional;1993
4600;Pendiente de Raquel;1996
4601;Penelope Last;1984
4602;Penilove;1990
4603;Pensarás mal de mi;1999
4604;Pensione paura;1977
4605;Pepe Guindo;1999
4606;Pepe, no me des tormento;1981
4607;Pepi, Luci, Bom y otras chicas del montón;1980
4608;Pepita Jiménez;1975
4609;Pepito Piscina;1978
4610;Pepo, el del olvido;1991
4611;Pequeña historia de amor en tres actos;1998
4612;Per favore, occupati di Amelia;1982
4613;Peraustrínia 2004;1990
4614;Perché non facciamo lamore?;1981
4615;Percusión;1983
4616;Perdidos en el tiempo;1983
4617;Perdita Durango;1997
4618;Perdona bonita, pero Lucas me quería a mí;1997
4619;Perdón, perdón;1998
4620;Perdóname, amor;1982
4621;Perfidia;1991
4622;Periódica pura;1984
4623;Perras callejeras;1985
4624;Perro de alambre;1980
4625;Perro, ¿qué miras?;1995
4626;Perros callejeros;1977
4627;Perros callejeros II;1979
4628;Perturbado;1993
4629;Perversión en el paraíso;1981
4630;Perú y España;1975
4631;Pesadilla para un rico;1996
4632;Pestañas postizas;1982
4633;Petit casino;1986
4634;Petits désordres amoureux;1998
4635;Pez;1986
4636;Phollastía;1987
4637;Picasso, ocho historias de amor;1992
4638;Piccole labbra;1978
4639;Pie Jesu;1991
4640;Piel de cactus;1997
4641;Piensa en un juego;1998
4642;Piernas arriba;1982
4643;Piernas cruzadas;1984
4644;Piernas firmes, cola floja;1982
4645;Pim, pam, pum... ¡fuego!;1975
4646;Pintadas;1996
4647;Pipas;1994
4648;Pirañas en cabriolé;1992
4649;Pisa moreno;1990
4650;Pito de Oro;1997
4651;Planeta extraño;1997
4652;Platgeta, port de pescadors de Barcelona;1980
4653;Platos combinados;1995
4654;Playa azul;1983
4655;Playboy en paro;1984
4656;Plein sud;1981
4657;Pleito a lo sol;1980
4658;Plenilunio;1999
4659;Plou sobre Alabama;1994
4660;Plus ça va, moins ça va;1977
4661;Podría ser peor;1999
4662;Podrías con 5 chicas a la vez?;1979
4663;Poetas españoles: Rosalía de Castro - Airiños da miña terra;1976
4664;Poetas españoles: Rosalía de Castro - Saudade;1976
4665;Pogipol vuelve;1996
4666;Policía;1987
4667;Poliziotto superpiù;1980
4668;Polvo enamorado;1990
4669;Polvo eres;1997
4670;Polvos bélicos;1986
4671;Polvos mágicos;1983
4672;Pomporrutas imperiales;1976
4673;Pon un hombre en tu vida;1996
4674;Pont de Varsòvia;1990
4675;Poppers;1984
4676;Por allí no pasan autobuses;1998
4677;Por el imperio hacia Dios;1979
4678;Por la borda;1987
4679;Por los viejos tiempos;1990
